微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IA5PlkajY,【为促进消费，#韩国京畿道每人发10万韩元红包#】据《朝鲜日报》报道，韩国京畿道知事（相当于省长）李在明24日宣布，将在4月前，向道内1364万名居民发放“灾难基本收入”，每人10万韩元，约合人民币560元。此举旨在克服新冠肺炎疫情的影响，促进消费，推动经济恢复。据了解，上述疫情补贴，将以消费券形式发放，限制3个月内使用。总共需要13642亿韩元资金，约合人民币76.7亿元。                原图                            ,http://wx1.sinaimg.cn/large/470bf257ly1gd51mrdxuqj20qy11atbh.jpg,无,无,2020-03-24 15:23,无,238,13,54
IA5MKA76V,【受疫情影响 #巴塞罗那街头无人野猪狂奔#】3月21日，西班牙一名车主拍下了野猪独自在巴塞罗那夜晚的街头狂奔的画面，此处原本是整座城市最热闹的商业街，但受疫情影响西班牙进入紧急状态，全国范围内“封城”。 @新京报我们视频 世面的秒拍视频  ,无,"http://miaopai.video.weibocdn.com/BPUSN9bvlx07BWHKM84w01041200evse0E013.mp4?label=mp4_hd&template=480x852.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585038787&ssig=%2FsjqcEFua5&KID=unistore,video",无,2020-03-24 15:16,无,275,74,61
IA5FeknGc,【回国女子拒隔离大闹机场辱骂防疫人员 官方：哪里来回哪里去！】#官方回应回国女子大闹重庆机场# 3月22日，一名30岁女子从泰国飞上海转机，到达重庆机场后，拒绝接受隔离，并破口大骂。在工作人员耐心解释要按照重庆最新规定，必须要隔离时，女子却拒绝配合并叫嚣：“我不会隔离的，我要回家。如果你要干扰我，我就告你！”随后该女子还与一旁劝说的旅客发生口角。对此，重庆市委宣传部工作人员表示，“她拒绝隔离不听劝告，那就只能从哪里来返回哪里去。”看看新闻Knews的秒拍视频                                ,无,无,无,2020-03-24 14:58,无,800,66,191
IA5wqwWUa,【#韩国警方决定将N号房赵博士公开示众#】据韩联社报道，韩国警方24日决定，25日上午8点把“N号房”赵博士送交检方时  ，会将其公开示众。赵博士将成为韩国首个因性犯罪被公开示众的犯罪人员。据了解，赵博士真名赵主彬（音译），他涉嫌从2018年12月至今年3月，在加密软件上设立聊天室、自称为“博士”，并上传非法拍摄的各种变态不雅视频，引发韩国舆论强烈谴责。#N号房赵博士将被公开示众#（海外网）                原图                            ,http://wx2.sinaimg.cn/large/470bf257ly1gd509ny6itj20dc0fv7cx.jpg,无,无,2020-03-24 14:34,无,10224,175,496
IA5oVpeed,【#上海虹桥机场暂停所有境外航班#】3月24日，据上海市新冠肺炎疫情防控新闻发布会通报：自3月25日零时起，虹桥机场暂停所有国际、港澳台的进出港航班业务，并将虹桥机场此前所有国际、港澳台航班转场至浦东机场运营，保留虹桥机场国际、港澳台航班备降功能。人民视频的微博视频 ,无,"http://f.video.weibocdn.com/cJjQr4NYlx07BWSDjjFK010412001I3X0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585038790&ssig=UxQXVvbwgb&KID=unistore,video",无,2020-03-24 14:16,无,1170,97,203
IA5isblJV,#武汉4月8日零时起解除离鄂通道管控#【封城76天后的武汉，将于4月8日解封】湖北省发布新型冠状病毒感染肺炎疫情防控指挥部通告：①从25日零时起，武汉市以外地区解除离鄂通道管控，有序恢复对外交通，离鄂人员凭湖北健康码“绿码”安全有序流动。②#4月8日武汉解除离汉离鄂通道管控#措施，有序恢复对外交通，离汉人员凭湖北健康码“绿码”安全有序流动。③省内大专院校、中小学、中职学校、技工院校、幼儿园等继续延期开学。网页链接  #明起湖北除武汉外解除离鄂通道管控#                原图                            ,http://wx2.sinaimg.cn/large/470bf257ly1gd4zaf2xubj20u00u0778.jpg,无,无,2020-03-24 14:00,无,340,92,58
IA55P4JcV,【#张文宏警示结核病# ：患者数量是新冠十倍】3月24日，世界防治结核病日。华山医院感染科主任表示目前全球的结核病防治工作任重道远，中国每年发病数为86万人左右，是当下新冠肺炎患者的十倍，希望大家慎重对待。#张文宏说结核病患者数量是新冠十倍# 澎湃新闻的微博视频 ,无,"http://f.video.weibocdn.com/003zboxcgx07BWNyWslW01041200f0BN0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585038791&ssig=6tAcc9A60G&KID=unistore,video",无,2020-03-24 13:29,无,15872,1874,1355
IA4Va6EJz,【#小狐狸闯进幼儿园被误认为标本# 还淡定吃起火腿肠】23日，南京一幼儿园闯进一只小狐狸，接到报警后，民警花了10分钟将其逮住。园方称，狐狸是在储物间被发现的，大家起初还以为是标本。老师们找来食物投喂，它也不怕人居然凑上前吃。狐狸将交由动物园处置。@江苏新闻 荔直播的秒拍视频 ,无,"http://miaopai.video.weibocdn.com/R1TrJirolx07BWFsBfSE010412009Rx70E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585038792&ssig=ObHt6%2BOjKR&KID=unistore,video",无,2020-03-24 13:02,无,804,94,138
IA4OWqP2f,【3月25日起#湖北除武汉外地区解除离鄂管控#】据@湖北发布 消息：从3月25日零时起，武汉市以外地区解除离鄂通道管控，有序恢复对外交通，离鄂人员凭湖北健康码“绿码”安全有序流动。从4月8日零时起，武汉市解除离汉离鄂通道管控措施，有序恢复对外交通，离汉人员凭湖北健康码“绿码”安全有序流动。 原图,http://wx3.sinaimg.cn/large/470bf257ly1gd4x6uevv7j20u00u0778.jpg,无,无,2020-03-24 12:47,无,278,36,85
IA4HKhxnZ,【#意大利4824名医护感染新冠病毒# 24名医生殉职】#意大利24名医生感染新冠殉职# 23日，意大利全国医师联合会表示，在该国新冠肺炎疫情中殉职的医生人数已经上升到24人。目前，意大利有约4824名医护人员感染。（海外网）  原图,http://wx1.sinaimg.cn/large/470bf257ly1gd4wofr7orj20go0b9q3x.jpg,无,无,2020-03-24 12:29,无,350,69,88
IA4zIDJIK,【神曲来了！钉钉视频会议的千层套路】经历在家办公和上课后，许多人都学会了开视频会议的新技能。不仅如此，还有人恶搞了#视频会议的千层套路#，小哥哥钉钉美颜一秒变易烊千玺。网友：提前洗头才是王道。第六首短诗的秒拍视频 ,无,"http://miaopai.video.weibocdn.com/rhyRg9Ftlx07BWCl5IUw01041200lJai0E013.mp4?label=mp4_hd&template=720x404.25.0&trans_finger=1d826f6f1a11607b0eef762fee9b15cd&Expires=1585038793&ssig=%2Bw8xK7YG52&KID=unistore,video",无,2020-03-24 12:10,无,806,648,205
IA4zpqMMh,【#特朗普要在3至4个月内重启美国#：我们国家可不是为了停工建立的】据英国《独立报》网站报道，美国总统特朗普在23日的白宫疫情简报会上表示，计划在3-4个月内“重启”美国。尽管专家警告可能需要采取更多隔离措施，特朗普却希望美国人在社交疏离抗疫期15天结束后重返工作岗位。他声称，“我们的国家不是为了停工而建立的”，一旦医疗官员认为“没事”了，大家“就回去上班吧”。与此同时，虽然特朗普的公共卫生团队还在敦促人们保持谨慎，但他本人仍然在没有数据支持的情况下鼓吹新冠肺炎的治疗方法，称治疗疟疾的氯喹“它确实有可能产生巨大的影响”。（中国日报网）                原图                            ,http://wx3.sinaimg.cn/large/470bf257ly1gd4w32x4f1j20qw0hk76k.jpg,无,无,2020-03-24 12:09,无,2632,130,347
IA4owfMWk,【德国“疫区”官员写公开信，请求中国援助】#德国疫区官员请求中国援助# 当地时间23日，德国“疫区”海因斯贝格县县长史蒂芬·普施（Stephan Pusch）发表公开信，请求中国援助防护设备。普施在信中写道，就海因斯贝格的医院而言，目前很难获得足够的防护物资，剩余的物资仅够使用几天，这将给海因斯贝格地区的卫生系统和民众造成深远的严重后果。普施在信中说：“作为当地地方长官，我请求中华人民共和国的支持。”普施在信中还写道，由于中国的医生在处理和控制新冠病毒方面拥有最丰富的经验，因此他也很希望与中国医生进行专业的经验交流。此外，普施还表示，特朗普对新冠病毒的污名化是为了掩盖他糟糕的应对危机的方式。在疫情全球大流行之际，这种指责是“最糟糕的”。他还说，击败疫情最好的“药方”就是人道与团结，“美国优先”并不能帮助人们渡过这次危机。（央视）                原图                            ,http://wx1.sinaimg.cn/large/470bf257ly1gd4vb68mqzj20ml0js40o.jpg,无,无,2020-03-24 11:42,无,1114,58,188
IA4fe4VQm,【#外国民众防疫花式大赏#】阳台音乐会大佬炫技；居家隔离也不耽误外国人民运动；霸王龙和小黄鸡套装，出门必备；西班牙的狗子们最近压力很大；英国的厕纸存在感依然很强。 小央视频的秒拍视频  ,无,"http://miaopai.video.weibocdn.com/hPp8kzsqlx07BVlMcvsA01041200YT9i0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585038795&ssig=%2ByaiEE66i6&KID=unistore,video",无,2020-03-24 11:19,无,867,246,139
IA41SmTqX,【#云南跟象人#：象出没，请注意】近日，14头野象组团下山溜达，现身云南勐海县村寨。它们闯进民房，打翻酒坛子，偷吃村民家的甘蔗.....多亏了它们身后的“跟象人”，能保护野象的同时，确保野象不会对人员造成伤害。请戳视频，和“跟象人”一起“云跟象”！#云南14头野象组团下山溜达#新华视点的秒拍视频                                ,无,无,无,2020-03-24 10:46,无,1226,180,130
IA3S3nqHu,【意大利演员#露西娅波塞去世#】意大利演员露西娅·波塞去世，享年89岁，她的儿子Miguel Bosé透露了消息。意媒报道称死因是肺炎。露西娅·波塞在1947年意大利小姐选美获胜，并在意大利电影新写实主义时期成为演员，与费里尼、安东尼奥尼、朱塞佩·德·桑蒂斯等名导多次合作，出演电影包括《不戴茶花的茶花女》《爱情纪事录/某种爱的纪录》《爱情神话》《罗马11时》《橄榄树下无和平》等。1956年与西班牙斗牛士Luis Miguel González Lucas结婚后，波塞一度退出演艺圈，抚养子女，并在1960年代回归。（守望好莱坞）            [组图共6张]    原图                            ,"http://ww1.sinaimg.cn/large/470bf257ly1gd4szl5fgcj20g80bdq4s.jpg,http://ww1.sinaimg.cn/large/470bf257ly1gd4szkwcqhj20kg0pbwgo.jpg,http://ww2.sinaimg.cn/large/470bf257ly1gd4szlfsq3j20sg0eqmze.jpg,http://ww3.sinaimg.cn/large/470bf257ly1gd4szm2jswj20wt0o9ag1.jpg,http://ww3.sinaimg.cn/large/470bf257ly1gd4szmanvnj20ix0angni.jpg,http://ww3.sinaimg.cn/large/470bf257ly1gd4szmlbjkj20u0142n1h.jpg",无,无,2020-03-24 10:22,无,592,118,95
