微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IzZbKDV9z,【山东15岁男生殴打防疫人员致死 警方通报】山东泰安警方通报“强闯卡点打死防疫人员”：双方发生口角和肢体冲突，15岁涉事者和相关人员已被控制。突发！泰安一男子强行闯卡并殴打疫情防控人员 致人死亡 [组图共4张]原图,"http://ww4.sinaimg.cn/large/76c4df26ly1gd48bis8bej20j60r4jxs.jpg,http://ww4.sinaimg.cn/large/76c4df26ly1gd48i4k0l9j20j60ee185.jpg,http://ww4.sinaimg.cn/large/76c4df26ly1gd48i6c7w9j20j60e47iz.jpg,http://ww4.sinaimg.cn/large/76c4df26ly1gd48i848dbj20j60eeh2r.jpg",无,无,2020-03-23 22:27,微博 weibo.com,515,34,144
IzXumaywm,【沈阳一家#粥店打出庆祝疫情横幅# 警方：正调查】一张“沈阳一家粥店打出横幅庆祝美国、日本发生疫情”的图片在网上引发关注。网传图片显示，一家粥店门前的充气拱形门上，挂着“热烈庆祝美国疫情，祝小日本疫帆风顺长长久久”的横幅。有消息称此店是沈阳市太原街上的“杨妈妈粥店”。一名本地市民告诉记者，22日他的朋友在粥店门口确实看到了网传照片的情况。今日下午他从店门口经过时已经看不到横幅。“杨妈妈粥店”太原街店的一名员工称，横幅目前已被取下，公安机关正对此事介入处理。http://t.cn/A6zD1HYB                                ,无,无,无,2020-03-23 18:07,微博 weibo.com,1425,59,611
IzXcZDkJK,【#湖南16岁少女被囚禁地洞案宣判#：被告人一审获死刑】湖南16岁少女被囚禁地洞遭性侵一事有新进展。3月19日，湖南省湘西土家族苗族自治州中级人民法院对该案进行一审公开宣判。被告人龙喜和被判死刑，剥夺政治权利终身。法院审理查明，2019年，龙喜和将被害人龙某某锁上铁链囚禁在事先修建的自家地下室，多次强行与其发生性关系。#湖南囚禁少女事件# 湖南凤凰变态男龙喜和地窖囚禁少女性侵24天 被判死刑 新京报我们视频的秒拍视频                                ,无,无,无,2020-03-23 17:24,微博 weibo.com,222,30,48
IzX2k2hdc,【#文在寅下令彻查N号房事件# 】23日，韩国总统文在寅表示，对于N号房事件，警方不应只调查“博士”等运营者，有必要对“N号房”全部会员进行调查，除警察厅网络安全组之外，还希望建立特别调查组，把这一事件视为重大犯罪彻查，严惩加害者，特别是对儿童、青少年实施的数码犯罪应予以更加严厉的处罚。政府不仅会删除非法视频，还会向受害者们提供包括法律、医疗、咨询等在内的所有必要的援助。因涉嫌威胁未成年人拍摄性剥削视频，并在SNS上传播，“N号房”的运营者19日晚被拘留。警方称该案件从2018年开始，嫌犯在聊天室发布性剥削画面供会员观看并收取会费，会员多达26万。@三联生活周刊 “N号房”事件持续发酵，韩国总统文在寅下令彻查                                ,无,无,无,2020-03-23 16:58,微博 weibo.com,25,9,8
IzWqjsQTK,【每天#荷兰销毁百万束鲜花# ，全年产量70%至80%被扔掉】3月22日，法新社报道，因新冠肺炎疫情影响，荷兰郁金香严重滞销，供货商每天销毁数百万支鲜花。荷兰王室植物发言人表示，相当于全国年产量70%至80%的花卉就地销毁。荷兰球茎花生产商协会号召人们多买鲜花，而不是抢厕纸。老板联播的微博视频 ,无,"http://f.video.weibocdn.com/002IdFTNgx07BVfZwqmb01041200ic1z0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1585005931&ssig=wDycfmbPzm&KID=unistore,video",无,2020-03-23 15:24,微博 weibo.com,63,14,27
IzV6g1OsT,【应勇辞去上海市市长，龚正任上海市代市长】今天上午，上海市第十五届人大常委会第十九次会议决定，接受应勇辞去上海市市长职务的请求，龚正任上海市副市长、代理市长。应勇辞去上海市市长，龚正任上海市代市长 原图,http://wx3.sinaimg.cn/large/76c4df26ly1gd3q9xk64uj20m80rr0u5.jpg,无,无,2020-03-23 12:02,专业版微博,71,14,22
IzV22eWCr,【#战疫特效药就是中国医生#】在过去的2000多年里，在我们这片土地上平均不到10年，就发生一次重大疫情。屡逢大疫，为什么我们的文明从未断绝？因为#战疫特效药就是中国医生# 家国逢大疫，中华有大医。在中华大地，总有一群身穿白色战袍的英雄，他们会用生命和毕生的努力，为每一位同胞加上了一个buff。#暖暖的中国# 凤凰网IP工作室的微博视频                                ,无,无,无,2020-03-23 11:52,正能量 · 视频社区,60,16,14
IzUzvmZ3c,【#加拿大宣布退出今夏2020东京奥运会#】当地时间22日，加拿大奥委会和残奥委官方发布声明，加拿大将不会派队参加今夏的2020东京奥运会。早些时候，据加拿大广播公司报道，加拿大奥委会和残奥委就表示，如果东京奥运会不推迟举办，加拿大将拒绝派运动员参加。 加拿大退出2020年东京奥运会 原图,http://wx4.sinaimg.cn/large/76c4df26ly1gd3nxzdbs8j20b20hfgmd.jpg,无,无,2020-03-23 10:42,微博 weibo.com,56,16,29
IzUrkAEJb,【当前主要防输入性风险 #张文宏说正常生活可以逐步恢复了#】中国疫情何时能够得到彻底控制，又是否会再次出现反复？张文宏认为，当前中国已经通过2个月左右的努力，使得疫情控制取得了第一阶段的成效，这个时候必须防止输入性病例；连续2周以上没有疫情发生的城市，那就意味着是相对安全的，这个阶段我们开始开展正常生活和工作也是非常有必要的。当前主要防输入性风险，张文宏：正常生活可以逐步恢复了                                ,无,无,无,2020-03-23 10:21,微博 weibo.com,29,12,12
IzTC9md4z,【全国新增新冠肺炎39例 #湖北连续5日0新增#】昨日，全国31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例39例，全部为境外输入病例。其中北京10例，上海10例，福建6例，广东6例，山东2例，甘肃2例，浙江、河南和重庆各1例。截至3月22日24时，累计报告境外输入确诊病例353例。#关注新冠肺炎# 31省份新增新冠肺炎39例 湖北连续5日0新增                                ,无,无,无,2020-03-23 08:15,专业版微博,19,7,16
