微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IA3t6d5FT,#早安# 原图,http://wx4.sinaimg.cn/large/6215876dgy1gd4qy37pxgj20u0141q45.jpg,无,无,2020-03-24 09:23,微博 weibo.com,16,5,1
IzYeMw3sa,【西班牙抗疫形势严峻】目前，西班牙的情况十分严峻——甚至可能是最令人担心的欧洲国家。截至3月22日，西班牙累计确诊数高达28572例，累计死亡1720人。和周边其他欧洲国家相比，西班牙此次防疫应对显得仓促、被动和情绪化，尽管几经周折并在两位阁员和首相夫人相继确诊后，“一步到位”实现了“封国”，但国内疫情的真实情况至今仍难言摸底。许多人担心，该国最佳的防堵时机，已在漫不经心中悄然流逝，而这很可能意味着今后必须为防疫付出更沉重的代价、努力，甚至牺牲。全文：欧洲重灾区里，最可怕的还不是意大利                原图                            ,http://wx1.sinaimg.cn/large/6215876dgy1gd3odrt6ioj20u00k0hdt.jpg,无,无,2020-03-23 20:02,微博 weibo.com,8,4,15
IzWFmFyzs,【失控的欧洲】经历了将近两个月的漫长居家期，国内的疫情正逐渐趋于稳定，新冠病毒却在欧洲掀起了新的飓风。短短两周之内，病毒从意大利爆发后，横扫欧洲大陆。令人匪夷所思的是，在信息网络高度发达的现代社会，前有中国抗击疫情的经验教训，后有意大利的前车之鉴，各国政府对新冠病毒的认知，理应更加完备，准备更加充分才对。但为何欧洲各国的疫情仍然会在短时间内失去控制，多点暴发？全文：这些不为人知的数据，透露出欧洲疫情的真相                原图                            ,http://wx1.sinaimg.cn/large/6215876dgy1gd3odf1fz6j20u00jk7wh.jpg,无,无,2020-03-23 16:02,微博 weibo.com,15,16,13
IzVMvienM,回溯富力的发展路径，公益的初心和使命一以贯之。企业规模越大，肩负的社会责任也越大。面对此次疫情，富力早就做好了从狙击战到持久战的准备。而那些打不倒我们的灾难，终将会让我们更加强大。于城市而言如此，企业发展亦然。 共迎春来 富力集团再捐500万元生活物资运抵武汉 ,无,无,无,2020-03-23 13:46,微博 weibo.com,5,0,2
IzUOU9MLK,【警惕疫情倒灌】疫情倒灌的风险越来越大。据中国国家移民管理局近日公布的数据，自3月11日世卫组织宣布新冠肺炎已经全球大流行以来，中国陆地口岸海港空港日均入境12万人次。疫情倒灌之所以引发强烈忧思，就是因为如果控制不力，我们将无城可封，也没有资源可以调集，只能听天由命，自然而然“群体免疫”了。走到这一步，那就是国家和社会瘫痪，以及无量数的人命。所以，某种程度上说，现在面临的危险，不比武汉封城之前小。全文：中国可以禁止入境吗？                原图                            ,http://wx1.sinaimg.cn/large/6215876dgy1gd3od3d93wj20u00k0hdq.jpg,无,无,2020-03-23 11:20,微博 weibo.com,48,24,13
IzTvJkPHk,#早安# 我当然不会试图摘月，我要月亮奔我而来。 原图,http://wx3.sinaimg.cn/large/6215876dgy1gd30nxrrk0j20u01410uh.jpg,无,无,2020-03-23 08:00,微博 weibo.com,50,12,5
IzPfClWLm,荷兰并未因担忧疫情扩散而采取停课、歇业等措施，对防治新冠肺炎给出的建议是勤洗手、保持距离、不进行贴面礼、咳嗽或打喷嚏用手肘遮挡……以及，无需佩戴口罩。“无需佩戴口罩”的建议与荷兰的法律、文化密切相关。2019年，荷兰参议院通过的“禁蒙面法”生效，要求普通人须在公共场所露出面部，不得遮挡面部主要部分。 这个禁止蒙面的国家要怎么抗疫                                ,无,无,无,2020-03-22 21:09,微博 weibo.com,15,4,4
IzP0S5tMs,【疫情凸显全球合作的重要性】目前中国疫情好转，而海外一些国家则出现了人数大幅度增加的险情，病毒传染人的源头也众说纷纭。人类只有加强合作共同努力才能够有效控制疫情的传播，没有哪个国家可以置身事外。中国发现疫情会快速传播后，采取了代价极大的封城和隔离措施，不仅是为中国本身，也是为世界各国做出了贡献。相信这次疫情将会促使世界各国在卫生健康和防控传染病上增强更加紧密的合作机制。（2020年6期《疫情下的构建人类命运共同体》）                原图                            ,http://wx2.sinaimg.cn/large/6215876dgy1gd1uhqboegj20u00k04qp.jpg,无,无,2020-03-22 20:33,微博 weibo.com,9,4,4
IzNrse6nc,【警惕制造业转移】近年来，越南、印度、柬埔寨等国凭借人工成本、土地成本等，承接中日韩等国大量低端的产业转移，进出口贸易发展迅猛。不过对于大型跨国企业而言，独立调整生产区位的成本很高，但如果中国恢复正常生产的时间过长，相关中制造业出现协调转移，将对整个中国制造业产业体系产生不可逆的影响。（2020年6期《黄奇帆的担忧会成为现实吗？》）                原图                            ,http://wx1.sinaimg.cn/large/6215876dgy1gd1uh8yarxj216n0u0nbe.jpg,无,无,2020-03-22 16:33,微博 weibo.com,27,14,15
IzLtGn3jc,【“左右摇摆”式执纪】战时状态下，执纪机关往往陷入一个困境，要么是无法让被问责干部心服口服，从而影响了疫情防控的士气；要么是无法回应民意，无法平息社会舆论。故而，很容易出现同样性质的错误，会有不同的处理方式。比方说，社会影响比较大的问题，往往会从重从快处理；而同样性质的问题，往往就一般处理，这在客观上造成了破坏了执纪的严肃性。（2020年6期《警惕战时执纪陷入“五大误区”》）                原图                            ,http://wx1.sinaimg.cn/large/6215876dgy1gd1ugxdwq4j21900u04qp.jpg,无,无,2020-03-22 11:33,微博 weibo.com,18,7,4
IzK5ertK6,#早安# 人世间，酸甜苦辣，若长良川。 原图,http://wx1.sinaimg.cn/large/6215876dgy1gd1u9t39fxj20u0141gn1.jpg,无,无,2020-03-22 08:00,微博 weibo.com,38,19,6
IzFBBqBV8,这无疑是对所有人都残酷的一年。前两天，网上一则回国华人违规返纪的新闻引起舆论对留学生行程、举止的担忧和警惕，但实际上，在这条不见终点的绳索上，没有人不曾颤抖彷徨。太多留学生遇到与尤真类似的困境。刚开学没多久，留学生涯就被生生折断，摆在面前的不仅是对剩余学分的忧虑，还有交完还没退租的昂贵房屋，甚至很难预料，欧美各国的留学签证是不是会被影响。毕竟，下一次返回日遥遥无期，和疫情终点一样，一眼望不到清晰边界。 这届留学生的最难回国路：不仅是一票难求                                ,无,无,无,2020-03-21 20:36,微博 weibo.com,51,25,11
