微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IA38Bf3d7,【#美国第一夫人新冠病毒检测呈阴性#】据《华盛顿时报》报道，美国第一夫人梅拉尼娅新冠病毒检测呈阴性。#梅拉尼娅病毒检测呈阴性 # （@人民日报海外版-海外网 ） 原图,http://wx3.sinaimg.cn/large/8d90f0bbly1gd4pld1k17j20ku0kugmp.jpg,无,无,2020-03-24 08:32,微博 weibo.com,16,5,11
IA38oxKeF,#参考快讯# 【#波音公司宣布暂停在华盛顿州工厂生产#】参考消息网3月24日报道 据法新社纽约3月23日消息，波音公司周一宣布因新冠肺炎暴发暂停在华盛顿州一家工厂的生产。       这家航空业巨头说，它计划从周三开始在皮吉特湾地区暂停生产，为期两周。该企业在这里生产波音777。       报道称，周一的宣布并不影响波音787客机在南卡罗来纳州的生产。正在寻求600亿美元联邦救助的波音，此前已经停止了在华盛顿州的波音737 Max的生产。#波音暂停华盛顿州工厂生产#                原图                            ,http://wx2.sinaimg.cn/large/8d90f0bbly1gd4omxq9pnj20ku0kugmp.jpg,无,无,2020-03-24 08:31,微博 weibo.com,9,2,3
IA3330a3h,#参考快讯# 【联合国秘书长呼吁大疫当前“立即实现全球停火”】参考消息网3月24日报道 据法新社联合国3月23日消息，联合国秘书长安东尼奥·古特雷斯今天呼吁“立即实现全球停火”，以保护冲突地区的脆弱平民免于遭受新冠肺炎大流行的侵害。       他在纽约联合国总部发表简短讲话说：“这种病毒的肆虐说明了战争的愚蠢。”“正因为如此，我今天呼吁在世界各个角落立即实现全球停火。”#联合国秘书长呼吁立即实现全球停火##联合国呼吁全球停火#                原图                            ,http://wx4.sinaimg.cn/large/8d90f0bbly1gd4oh0koffj20ku0kugmp.jpg,无,无,2020-03-24 08:18,微博 weibo.com,37,14,13
IA2XEcV4W,【#31省区市新增78例确诊病例#，#武汉新增确诊病例1例#】3月23日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例78例，新增死亡病例7例（湖北7例），新增疑似病例35例。　　当日新增治愈出院病例456例，解除医学观察的密切接触者769人，重症病例减少176例。　　截至3月23日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例4735例（其中重症病例1573例），累计治愈出院病例73159例，累计死亡病例3277例，累计报告确诊病例81171例，现有疑似病例132例。累计追踪到密切接触者691185人，尚在医学观察的密切接触者12077人。　　湖北新增确诊病例1例（武汉1例），新增治愈出院病例444例（武汉426例），新增死亡病例7例（武汉7例），现有确诊病例4318例（武汉4268例），其中重症病例1539例（武汉1527例）。累计治愈出院病例60323例（武汉43214例），累计死亡病例3160例（武汉2524例），累计确诊病例67801例（武汉50006例）。新增疑似病例0例（武汉0例），现有疑似病例0例（武汉0例）。　　3月23日0—24时，新增报告#境外输入确诊病例74例#（北京31例，广东14例，上海9例，福建5例，天津4例，江苏3例，浙江2例，四川2例，山西、辽宁、山东和重庆各1例）。截至3月23日24时，累计报告境外输入确诊病例427例。　　累计收到港澳台地区通报确诊病例576例：香港特别行政区356例（出院101例，死亡4例），澳门特别行政区25例（出院10例），台湾地区195例（出院29例，死亡2例）。（@人民日报）#12地新增境外输入74例#                原图                            ,http://wx1.sinaimg.cn/large/8d90f0bbly1gd4ozbdtbfj20ku0kugmp.jpg,无,无,2020-03-24 08:05,微博 weibo.com,14,4,9
IA2WecwkK,【#美国确诊新冠肺炎超4万例#】据约翰斯·霍普金斯大学疫情实时监测系统统计，截至美东时间23日下午6点16分，美国已至少有新冠肺炎确诊病例43214例，包括死亡病例533例。       23日，美国各州共报告超过100例新增死亡病例，这是疫情暴发以来#美国单日死亡病例数首次升至三位数#。死亡病例已至少遍及美国34个州、华盛顿哥伦比亚特区和波多黎各。       美国总统特朗普23日签署了一份行政令，禁止囤积应对疫情所需的医疗物品，例如洗手液、口罩、个人防护物品等。     美国公共卫生局局长杰罗姆·亚当斯23日警告称，美国年轻人感染新冠病毒的比例较高，这与其他国家的情况不一致。他警告称，本周美国的情况会更糟糕，而全美民众对这一威胁的重视程度不够，加州的海滩、华盛顿特区仍然游人如织。       当天，密歇根州、印第安纳州、西弗吉尼亚州和俄勒冈州都颁布了“居家令”，加上此前已颁布“居家令”的地方州，已至少有近三分之一的美国人被要求待在家中。此外，马里兰州和马萨诸塞州州长下令关闭非必要的企业。弗吉尼亚州州长也宣布，该州所有公立和私立学校将在本学年剩下的时间里继续关闭。（郑琪）（@人民日报）#美国或在1周内成为全球确诊最多国家#                原图                            ,http://wx3.sinaimg.cn/large/8d90f0bbly1gd4ny7onmzj20ku0kugmp.jpg,无,无,2020-03-24 08:01,微博 weibo.com,24,11,17
IA2Pro7RY,#参考快讯# 【#默克尔首次新冠病毒检测结果为阴性#】参考消息网3月24日报道 据路透社柏林3月23日消息，德国总理安格拉·默克尔的新冠病毒首次检测结果为阴性，一名政府发言人今天说。       “这次检测结果是阴性，”这位政府发言人说，“接下来将进行进一步的测试。”       默克尔周日开始居家隔离，此前她接触过的一名医生被确诊感染新冠病毒。#默克尔新冠病毒检测结果呈阴性#                原图                            ,http://wx3.sinaimg.cn/large/8d90f0bbly1gd4odmoomjj20ku0kugmp.jpg,无,无,2020-03-24 07:43,微博 weibo.com,36,9,17
IA2It3Y3H,#国际疫情动态# 【世卫组织：#中国以外新冠肺炎确诊病例达251329例#】世界卫生组织23日公布的最新数据显示，中国以外新冠肺炎确诊病例达到251329例。　　世卫组织每日疫情报告显示，截至欧洲中部时间23日10时（北京时间23日17时），中国以外新冠肺炎确诊病例较前一日增加40685例，达到251329例；中国以外死亡病例较前一日增加1718例，达到11234例。　　全球范围内，新冠肺炎确诊病例较前一日增加40788例，达到332930例；死亡病例较前一日增加1727例，达到14510例。　　过去24小时内，有3个国家报告了首例确诊病例，分别是叙利亚、格林纳达和莫桑比克。（@新华视点）#中国以外确诊病例超25万#                原图                            ,http://wx3.sinaimg.cn/large/8d90f0bbly1gd4nwfcsyzj20ku0kugmp.jpg,无,无,2020-03-24 07:26,微博 weibo.com,27,9,6
IzZFgC8Lf,【西媒：#疫情带来和平时期的资本洗牌# 特朗普连任计划或泡汤】西班牙《公众报》网站：如果认为我们将长期遭受的金融危机和经济地震只是新型冠状病毒的后果，这未免太天真了，资本主义经济已经存在了很长一段时间，所有放缓都再次伴随着股市的愚蠢兴奋，这充分体现了资本主义经济的不切实际，并在很早以前就预示了泡沫的破裂。像任何其他危机一样，这次疫情对于某些投机者来说也是一个机会，解决这一危机的任何办法都将给劳动力市场带来新的、艰难的转折，导致统治阶层与其社会之间关系的重构。同样，权力也将在全球资本家阶层内部进行重组。从这个意义上来说，美国那些最全球化的金融机构看起来已经为特朗普准备好了陷阱，他对疫情的糟糕处理可能使他赢得连任的计划泡汤↓↓ 西媒：疫情带来和平时期的资本洗牌 特朗普连任计划或泡汤                                ,无,无,无,2020-03-23 23:40,微博 weibo.com,178,70,35
IzZxXmC7e,#纽时批特朗普转移视线#【纽约时报：面对灾难性失败，特朗普试图“转移视线”】3月20日，美国纽约时报网站发表专栏文章认为，面对自身在疫情处理上的“灾难性失败”，特朗普和共和党正在试图转移视线，将人们的目光从“总统的糟糕表现转移到言语之争上”。在此，参考消息将原文编译如下，供读者参考↓↓ 纽约时报：面对灾难性失败，特朗普试图“转移视线”                                ,无,无,无,2020-03-23 23:22,微博 weibo.com,121,43,28
IzZvTq68a,#参考快讯#【德国总理#默克尔接受新冠病毒检测#】参考消息网3月23日报道 据德新社报道，德国总理默克尔接受了新冠病毒检测。       德国政府发言人斯特芬·赛贝特说，默克尔周一（23日）接受了新型冠状病毒的检测，目前正在等待检测结果。       他说：“总理现在很好。”“我们目前正在等待结果，然后看接下来要做什么。”       赛贝特没有明确何时能够得到检测结果。                原图                            ,http://wx2.sinaimg.cn/large/8d90f0bbly1gd49rc56e3j20o00i0q4d.jpg,无,无,2020-03-23 23:16,微博 weibo.com,41,12,3
