微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IzVAW5AOO,【我驻美大使崔天凯回应“病毒来自美国军方实验室”说法】#崔天凯回应病毒来自美国军方说法# 据中国驻美国大使馆官网消息，3月17日，崔天凯大使接受AXIOS和HBO联合节目的采访，就新冠肺炎疫情等回答了记者乔纳森·斯旺的提问。 斯旺：大使先生，面对公共卫生危机，以事实为基础开展对话非常重要。您2月9日在《面向全民》节目采访中说散播“病毒来自美国军方实验室”这样的“疯狂谣言”十分危险。大使先生，您知道是谁在散播这些疯狂的阴谋论吗？崔大使：我认为这是始于美国的。你看了我接受《面向全民》的采访，我们谈到这里有人散播疯狂言论。斯旺：是的，您当时说：“还有人说这些病毒是来自美方军事实验室而不是中国的，类似的疯狂言论我们怎么能相信？”您当时是回应……崔大使：这是我的一贯立场。我当时这样认为，现在依然这样认为。对于这个问题，当然我们最终要找到答案，揭开病毒的来源，但这是科学家要做的工作，而不是由外交官或者记者来进行揣测的，因为这样的臆测对任何人都没有好处，而且非常有害。为什么不让我们的科学家来完成他们的专业工作、并最终告诉我们答案呢？斯旺：大使先生，很高兴听您这么说。因为事实上，是你们中国外交部的发言人赵立坚在散播病毒来源于美国实验室的阴谋论。他有相关证据吗？崔大使：也许你可以去问他。斯旺：您问他了吗？您是大使。崔大使：我在此代表的是中国国家元首和中国政府，不是某个具体个人。斯旺：他是代表中国政府发言吗？是赵立坚还是您代表中国政府发声？崔大使：我是中国驻美国的代表。斯旺：好的。所以我们不应该从字面上去听他的话。尽管他是发言人，我们也不应该认为他的话代表中国政府。崔大使：你可以对别人的话进行解读。我无法也没有责任向你解释所有人的观点。斯旺：这并不是怎么解读的问题，他就是这么说的。但您的意思很清楚了。采访全文实录：驻美大使崔天凯回应“病毒来自美国军方实验室”说法                原图                            ,http://wx2.sinaimg.cn/large/60718250ly1gd3sglc5g3j21180okmyq.jpg,无,无,2020-03-23 13:19,微博 weibo.com,114,42,26
IzVr0ztvj,【#武汉大学樱花雨#】“今年我们没有相见，每朵樱花都有个梦想”，戳视频↓↓看武大樱花雨。网友：来年春天，必如约而至！武汉大学的微博视频 ,无,"http://f.video.weibocdn.com/003L7BRtgx07BTHKzuvK01041200soRD0E010.mp4?label=mp4_hd&template=844x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1584944557&ssig=t4z14inRQS&KID=unistore,video",无,2020-03-23 12:55,校园 · 视频社区,1177,154,152
IzV7ipQ4Y,【#马云再次求助#：希望网友转发在线健康咨询服务链接给海外网友】短短一周内，马云第二次公开发出求助信息。面对疫情在海外持续扩散，3月23日，马云请网友将在线健康咨询服务链接转发给海外网友，通过这个平台，海外华人均可向国内医生发起健康咨询。目前，众多刚从抗“疫”一线回来的医生正“英雄返场”，借此为海外同胞提供在线健康咨询志愿服务，相关服务此前已获驻美、驻意大使馆等近200家中国驻外使领馆推荐。老板联播的微博视频                                ,无,无,无,2020-03-23 12:05,微博 weibo.com,1110,172,243
IzV3YdkDI,【#美国防部首例新冠肺炎死亡病例#，系国防承包商】美国海军协会新闻网站3月22日报道称，美国国防部出现首例感染新冠病毒死亡病例，这名国防承包商在弗吉尼亚州阿灵顿的国防安全合作局工作，曾在当地医院接受过新冠病毒治疗。美国国防部此前在3月16日发布消息称，该部已经出现37例新冠确诊病例，其中包括18名军人。(澎湃新闻)                原图                            ,http://wx3.sinaimg.cn/large/60718250ly1gd3q43d5pij20p00ikdkw.jpg,无,无,2020-03-23 11:57,微博 weibo.com,368,42,76
IzV0rwopo,【#天津新增境外输入确诊病例4例# 为同一航班乘客】3月22日18时至23日6时，天津无新增报告本地新冠肺炎确诊病例。新增报告4例境外输入确诊病例（中国籍3例、法国籍1例）。4例患者均于3月21日乘巴黎到北京CA934航班，于22日12:30降落天津滨海国际机场。（津云） 原图,http://wx3.sinaimg.cn/large/60718250ly1gd3pv0p1f8j20k50j2768.jpg,无,无,2020-03-23 11:48,微博 weibo.com,747,77,181
IzUPCbeYX,【#龚正任上海市代市长#】今天上午，上海市第十五届人大常委会第十九次会议决定，接受应勇辞去上海市市长职务的请求，龚正任上海市副市长、代理市长。（上观新闻） 原图,http://wx1.sinaimg.cn/large/60718250ly1gd3p3aqxjlj20fa0j2js1.jpg,无,无,2020-03-23 11:21,微博 weibo.com,5000,181,515
IzUDV1O1w,【澳大利亚奥委会：今年夏天“无法集结”参与奥运会】#澳大利亚退出今夏东京奥运会# 据今日俄罗斯新闻网23日报道，澳大利亚奥委会(AOC)表示，鉴于国内外（疫情）不断变化的情势，澳大利亚团队今年夏天“无法集结”参与奥运会，会为2021年准备。（海外网） 原图,http://wx2.sinaimg.cn/large/60718250ly1gd3o9bcgy0j20dw09aaav.jpg,无,无,2020-03-23 10:52,微博 weibo.com,22295,373,958
IzUxOttft,【#泰国回国女子大闹重庆机场#！拒绝隔离威胁防疫员 爆粗口辱骂旅客】3月22日，一段“疑似从泰国普吉岛回国女子大闹重庆机场”的视频引起网友热议。视频中，该女子称自己从泰国落地上海，上海转机重庆，但她拒绝隔离并爆粗口与防疫人员产生争执，随后该女子还与一旁仗义执言的旅客发生口角。燃新闻的秒拍视频                                ,无,无,无,2020-03-23 10:37,微博 weibo.com,53359,2534,7938
IzUvczYO2,【#加拿大退出2020年东京奥运会#】加拿大奥委会在官网上发布公告称，因担心新冠肺炎的风险，加拿大将不会派代表队参加2020年东京奥运会。公告称，在加拿大运动员委员会、国家运动组织和加拿大政府的支持下，加拿大奥委会和残奥委会支已经做出了一个困难的决定，将不会派加拿大代表队参加东京奥运会。@中国日报                原图                            ,http://wx2.sinaimg.cn/large/60718250ly1gd3nmz40jij20j60ftq3m.jpg,无,无,2020-03-23 10:31,微博 weibo.com,7087,340,522
IzUlJ7EoX,【#英国私人诊所向富人出售试剂盒#：425美元包邮】据《华尔街日报》网站21日报道，英国从上周开始严格限制新冠病毒检测，症状较轻者无法进行检测。为了应对政府的这一限制，英国一家私人诊所的医疗总监马克·阿里开始向富人阶层出售检测试剂盒，售价约为425美元包邮（约合3015.38元人民币）。他透露称，不到一周的时间就卖出了5600个试剂盒。这一情况并非个例。据报道，英国米德兰的私人诊所也在为患者提供病毒加测，最开始的价格在170美元左右。之后由于供应商提高售价，检测费用也很快涨到了280美元。这种行为也被批为借流行病牟取暴利，一位医生还建议政府征用所有进行私人检测的实验室。（中国日报网）                原图                            ,http://wx2.sinaimg.cn/large/60718250ly1gd3myoexnoj208w050t8t.jpg,无,无,2020-03-23 10:08,微博 weibo.com,1536,135,254
