微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IzWGYggLH,#中国天眼已发现114颗脉冲星# 【“中国天眼”：疫情期间确保正常运行 已发现114颗脉冲星】记者从国家天文台“中国天眼”运行和发展中心了解到，今年1月1日至3月23日，被誉为“中国天眼”的我国500米口径球面射电望远镜完成观测近1000小时，已完成全年观测时长目标任务的三分之一，发现并认证的脉冲星达到114颗。　　据了解，为减少疫情期间人员流动，在北京的“中国天眼”运行和发展中心大部分科研人员远程办公，少数在贵州观测基地现场的科研人员克服困难坚持上岗值班，有的连续工作2个月才休息，确保望远镜全天候正常运行，确保科学家拟定的各项观测计划正常执行。　　目前正值“中国天眼”积累观测时长和科学产出的关键期，该中心克服疫情的不利影响，对望远镜观测流程进行系统优化，陆续启动了脉冲星测时阵列、漂移扫描多科学目标巡天等5个重大和优先项目的科学观测。                原图                            ,http://wx3.sinaimg.cn/large/a782e4abgy1gd3x18q1vxj20p00p0tba.jpg,无,无,2020-03-23 16:08,微博 weibo.com,35,8,6
IzWGACCBp,【正在直播：国务院新闻办公室在湖北武汉举行新闻发布会】请中央指导组成员、卫生健康委党组成员、中医药局党组书记余艳红，中国工程院院士、天津中医药大学校长张伯礼，中国工程院院士、中国中医科学院院长黄璐琦等介绍中医药防治新冠肺炎的重要作用及有效药物并答记者问。 新华网的微博直播 . ,无,无,无,2020-03-23 16:07,微博网页版,43,3,0
IzWyXdf3R,"#北京地铁试点超强运行图#【#北京试点超强运行图降低高峰时段地铁满载率#】记者23日从北京市地铁运营有限公司（简称北京地铁公司）获悉，根据疫情防控形势和复工复产客流增长情况，北京地铁公司通过优化网络资源配置，加强客流分析调度，制订出“超强运行图”，并将于3月24日在地铁昌平线、八通线进行试点。　　一是采取增加车辆投放、开行多交路套跑（区间车）、开行大站快车、压缩站停时间、突破最小行车间隔等超常措施，精准、高效投放运力，最大程度降低高峰时段列车满载率。二是加强客流实时监测和分析，适时采取换乘线路相互配合的网络化限流措施，引导乘客分批次进站，缓解车站、车厢拥挤情况，确保疫情期间乘客乘车安全。　　采取“超强运行图”后，昌平线工作日早晚高峰将采取大中小多种交路套跑的方式，降低沙河高教园至西二旗等客流量较大区段的列车满载率；在客流量较小的区段开行大站快车，减少列车停站时间。调整后，昌平线早高峰最小运行间隔由3分40秒缩短至2分，预计列车满载率将下降45%。　　八通线工作日早晚高峰也将采取大小交路套跑的运行方式，降低果园至四惠等客流量较大区段的列车满载率；在客流量较小的区段开行大站快车，减少列车停站时间；此外还将利用八通线管庄站存车条件，在客流高峰时段加密发车车次。调整后，八通线最小间隔从2分50秒缩短至1分58秒，预计列车满载率将下降30%。　　据介绍，“超强运行图”可能会给乘客乘车带来一些变化。比如，采取多交路区间车套跑方式后，昌平线进城方向乘客可能坐上以沙河高教园站、昌平东关站为始发站的空车。而昌平线出城方向，部分列车在沙河高教园站、昌平东关站将采取清空列车措施，乘客需耐心等待后续列车。采取大站快车措施后，昌平线早高峰出城方向部分列车在巩华城站通过不停车，通过列车和停靠列车的比例为1:2，部分列车在北邵洼站通过不停车,通过列车和停靠列车的比例为1:1。                原图                            ",http://wx2.sinaimg.cn/large/a782e4abgy1gd3wnzpy4tj20p00p0tba.jpg,无,无,2020-03-23 15:48,微博 weibo.com,17,9,4
IzWvdzKWD,#国家将对中小微企业招用毕业生予以补贴#【#帮助支持农民工和高校毕业生就业#，国家有这些举措[加油]】国家发展改革委副秘书长高杲23日在国务院联防联控机制新闻发布会上说，国家出台多项措施，帮助、支持农民工和高校毕业生解决就业。戳视频↓  新华网的微博视频 ,无,"http://f.video.weibocdn.com/o4dWFOUalx07BVnn8Hag010412008Kz40E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1584954716&ssig=4tlz0Vj7dk&KID=unistore,video",无,2020-03-23 15:39,微博视频,37,19,6
IzWpUpZQF,【澳大利亚奥委会：建议运动员为东京奥运在2021年举办做准备】澳大利亚奥委会23日发布声明说，在国际奥委会宣布可能推迟举办今年的奥运会之后，澳大利亚运动员应该为东京奥运会将在2021年夏天举办做准备。　　这一做法被当地媒体解读为如果东京奥运会仍在今年内举行的话，澳大利亚可能会退出。　　“我们的运动员现在需要优先考虑自己和周围人的健康，”澳大利亚奥委会在官网发布声明称。　　澳大利亚奥委会在23日上午通过电话会议的方式召开了一次执行委员会会议，与会者一致认为在目前国内外疫情的背景下，“澳大利亚代表团无法组建”。　　澳大利亚参加东京奥运会的代表团团长伊恩·切斯特曼表示，他已经与运动员进行了沟通，并在上周收到来自25个运动项目的运动员的反馈。　　“很明显，奥运会不能在7月举行。我们的运动员对训练和准备的态度非常积极乐观，但压力和不确定性对于他们是一个巨大的挑战。他们也很牵挂其他国家的运动员。”　　他还表示，对于许多人来说，奥运会推迟将带来一系列新问题。包括各个项目的资格赛、在东京筹办赛事的物流等，但是这些问题可以及时解决。　　“当全世界的参与者在东京奥运会上真正相聚的那一刻，将是体育与人类一次真正的庆典。”他说。                原图                            ,http://wx1.sinaimg.cn/large/a782e4abgy1gd3w0p2z9pj20p00p0tba.jpg,无,无,2020-03-23 15:26,微博 weibo.com,27,7,9
IzWmZerIl,【#北京新增报告境外输入确诊病例15例#】记者从北京市卫健委获悉，3月23日0时至12时，北京新增报告境外输入新冠肺炎确诊病例15例，其中西班牙12例、英国2例、挪威1例。治愈出院病例1例。　　据悉，截至3月23日12时，北京累计报告境外输入确诊病例122例，治愈出院病例9例。3月23日0时至12时，无新增报告本地确诊病例。截至3月23日12时，北京累计报告本地确诊病例415例，治愈出院病例392例，治愈出院率94.5%。                原图                            ,http://wx3.sinaimg.cn/large/a782e4abgy1gd3vu3dudzj20p00p0go6.jpg,无,无,2020-03-23 15:18,微博 weibo.com,19,5,9
IzWlMwr1u,#男子因哄抬口罩价格被判刑#【上海：一男子因疫情期间哄抬口罩价格高至20多倍被判刑】记者23日从上海市高级人民法院获悉，上海市松江区人民法院23日对一起疫情期间哄抬口罩价格涉嫌非法经营案依法公开审理。被告人谢某犯非法经营罪，被判处有期徒刑8个月，并处罚金18万元。　　据悉，2020年1月初，谢某在经营某工贸公司过程中，以5.125元/盒的价格购入一批一次性使用的无纺布口罩，规格为50只每盒，并在该工贸公司名下淘宝店铺销售。1月23日至1月29日期间，该淘宝店铺将正常售价7元/盒的上述口罩，涨至21元/盒至198元/盒不等的价格对外销售，累计售出1900余盒，违法所得16万余元。2020年3月2日，谢某被公安机关抓获。案发后，上述淘宝店铺陆续退款5.7万余元。　　公诉机关认为，上述工贸公司及其法定代表人谢某在疫情防控期间，违反国家有关市场经营、价格管理等规定，哄抬疫情防控急需的无纺布口罩价格，牟取暴利，违法所得数额较大，严重扰乱市场秩序，应以非法经营罪追究其刑事责任。　　法院判决被告单位上述工贸公司犯非法经营罪，判处罚金20万元；被告人谢某犯非法经营罪，判处有期徒刑8个月，并处罚金18万元；追缴在案的违法所得103874.2元，予以没收；在案的电脑主机等作案工具予以没收。                原图                            ,http://wx2.sinaimg.cn/large/a782e4abgy1gd3voscg0dj20p00p0tba.jpg,无,无,2020-03-23 15:13,微博 weibo.com,43,17,11
IzWfww8CL,#全民战疫#【正在直播：国务院联防联控机制新闻发布会】国务院联防联控机制召开新闻发布会，介绍依法防控境外疫情输入最新情况，请海关总署、交通运输部、中国民用航空局、国家移民管理局有关司局负责人就出入境管理、口岸检疫、国际交通工具防控等回答媒体提问。 新华网的微博视频 . ,无,"http://f.video.weibocdn.com/3iZHdn8Llx07BVnHaDNu01041204fITI0E020.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1584954719&ssig=bUixZx0CDc&KID=unistore,video",无,2020-03-23 14:58,微博网页版,93,10,3
IzW9gdDBk,【3岁男童被桂圆卡喉昏厥，#120接线员10分钟生死营救#！】3月20日，一名3岁的小男孩不慎被桂圆卡住喉咙，导致昏厥。家长拨打急救电话求助，120接线员李娜耐心远程指导救治。经过近10分钟的生死营救，卡在小男孩喉咙里的桂圆终于吐了出来，转危为安。细心的120接线员分秒必争，挽救了一条生命！点赞！@蟹视频 蟹视频的秒拍视频                                ,无,无,无,2020-03-23 14:42,微博 weibo.com,178,39,20
IzVZHul7k,#苏州企业捐助武汉无人煎药房#【一天煎2400份 苏州企业向武汉捐助#无人煎药房#】一天可以煎2400份患者当天的用药，相当于8名药剂师24小时不停的工作量。位于苏州工业园区的一家公司在园区支持下两天完成复工复产，并向湖北省中医院、武汉市中医院捐赠两套价值约500万元的无人煎药房，以应对中西医结合治疗对中药的大量需求。新华网的秒拍视频                                ,无,无,无,2020-03-23 14:19,微博 weibo.com,333,66,38
IzVRmm2Zj,#樱花树下的爱和希望#【正在直播：#武大校长带你赏樱#  讲述樱花树下的战“疫”】东湖之滨，珞珈山上，武大樱花再次绽放。今天，武汉大学校长窦贤康带你赏樱花，讲述这个春天，“武汉保卫战”中的武大战“疫”故事。 新华网的微博直播 . ,无,无,无,2020-03-23 13:58,微博网页版,914,41,16
IzVBrojvH,#2050年35亿至44亿人用水将受影响#【古特雷斯：2050年全球35亿至44亿人的用水将受到影响】22日是联合国确定的“世界水日”。联合国秘书长古特雷斯当天表示，如果不立即采取有力措施，到2050年，全球将有35亿至44亿人用水受到影响，其中超过10亿人生活在城市中。       今年“世界水日”重点关注“水与气候变化”。古特雷斯当天致辞说：“世界水资源正面临前所未有的威胁。目前，全球约有22亿人缺乏安全的饮用水，42亿人生活在缺乏足够卫生设施的环境中。除非我们采取紧急行动，否则气候变化的影响预计将加剧这些数字的增加。”       古特雷斯说，水是我们感知气候变化影响的主要介质。我们能够通过这种介质，从干旱和洪水等极端天气事件，到冰川融化、盐水入侵以及海平面上升等，感受气候变化的影响。       他强调，全球变暖和对水资源不可持续的使用将造成前所未有的水资源短缺，导致数以百万计的人流离失所。这将对健康和生产力产生负面影响，并成为“不稳定和冲突威胁的倍加器”。古特雷斯呼吁国际社会立即加大对健康水域和水基础设施的投资，大幅提高用水效率。        1993年1月18日，第47届联合国大会做出决议，确定每年3月22日为“世界水日”。“世界水日”的宗旨是唤起公众的节水意识，加强水资源保护。                原图                            ,http://wx4.sinaimg.cn/large/a782e4abgy1gd3se3706cj20p00p0759.jpg,无,无,2020-03-23 13:19,微博 weibo.com,96357,4455,4638
IzVxD2ocZ,#今年前两个月实物商品网上零售额增长# 上了热搜，一起来聊聊吧，#最近你网购了哪些东西#？ 最近你网购了哪些东西？ ,无,无,无,2020-03-23 13:10,微博 weibo.com,2373,13,46
IzVtCfZ1w,#战疫日励# 共同维护世界人民健康福祉 原图,http://wx4.sinaimg.cn/large/a782e4abgy1gd3r39wimqg20dc0nqnpd.gif,无,无,2020-03-23 13:00,微博 weibo.com,94,28,19
IzVhiDZjm,#2020世界气象日# 3月23日是世界气象日，今年的主题是“气候与水”。气象小姐姐带你看我们的大江大河↓一起守护我们的蓝色星球！[加油]@中国气象局新华网的秒拍视频 ,无,"http://miaopai.video.weibocdn.com/ivecL7Calx07BVaBR5hu01041200A7tk0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1584954723&ssig=xVK4c0m4an&KID=unistore,video",无,2020-03-23 12:30,微博 weibo.com,68,46,13
IzV2qauun,#国际奥委会将在四周内完成疫情评估#【国际奥委会：推迟奥运是备选、不考虑取消　四周完成评估】为了保护各方健康并遏制新冠病毒的传播，国际奥委会执委会在洛桑当地时间22日发布声明，表示将在未来四周内完成对疫情的评估，并完成对东京奥运会举办方案的详细讨论，推迟举办是备选方案之一，但#取消东京奥运会不在议程之上#。　　随着新冠肺炎疫情在全球蔓延，外界对于东京奥运会能否在今年7月24日如期开幕越来越担忧。在当天召开紧急会议之后，国际奥委会执委会宣布启动针对东京奥运会的“前景规划”，这是国际奥委会首次官方承认考虑不同方案。在此之前，国际奥委会一直表示，各方仍按照东京奥运会如期举办的想法安排筹备工作。　　声明表示，国际奥委会将与东京奥组委、日本政府和东京都政府紧密合作、详细讨论，完成对疫情对奥运会冲击的评估，包括对推迟举办可能性的评估。国际奥委会相信，未来四周将完成上述讨论。　　国际奥委会执委会同时强调，取消东京奥运会不会解决任何问题，也不能帮助任何人。因此，取消东京奥运会不在议程之上。　　声明表示，一方面，日本取得了显著进步，当地百姓正欢迎奥运圣火的到来。这坚定了国际奥委会对东道主日本的信心，国际奥委会可以在有一定安全限制、维护各方健康的原则下，在该国举办奥运会。　　另一方面，在不同大洲不同国家有新的疫情暴发，确诊病例急剧增加。这让执委会决定国际奥委会需要采取进一步行动。　　（如果不能如期举行，）一些奥运会的关键场馆可能不再可用，已经预订的酒店房间非常难以处理，至少33个奥运项目的全球赛历需要调整……而这些还只是众多挑战的一小部分。　　因此，国际奥委会表示需要东京奥组委、日本政府、全部国际单项体育联合会和国家（地区）奥委会的全力支持与配合，也需要奥运持权转播商和奥运合作伙伴，以及奥运会所有赞助商、供应商的全力支持与配合。　　在当天的执委会会议之后，国际奥委会主席巴赫致信全球奥林匹克运动员，他再次强调说，保护每个人的身体健康、全力支持疫情防控工作是最高宗旨。“人的生命高于一切，包括举办奥运会。我希望，我们也正致力于此，来自五大洲的众多运动员、国家（地区）奥委会、国际单项体育联合会的愿望可以实现：那就是，在不知道这条黑暗隧道将要走多久的时候，我们希望奥运圣火能在隧道尽头成为一盏明灯。”                原图                            ,http://wx4.sinaimg.cn/large/a782e4abgy1gd3prrztlwj20p00p0759.jpg,无,无,2020-03-23 11:53,微博 weibo.com,43,21,19
