微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Iz96DD0gi,开通会员[置顶]会员特权【改变世界的一周】新刊—全球抗疫如何夺回主动？新刊 | 全球抗疫如何夺回主动？ [组图共2张]原图,"http://ww2.sinaimg.cn/large/643279a4gy1gcxudm61ipj20u01344kd.jpg,http://ww2.sinaimg.cn/large/643279a4gy1gczhd6m4emj20q80lih28.jpg",无,无,2020-03-18 09:51,HUAWEI Mate 20 X,5,3,4
IA3SV7uIj,【火神山 生死拉锯战】火神山一间不到400平方米的重症室是生与死的交界线也是医护人员与死神交手的火线http://t.cn/A6zFHLse 原图,http://wx3.sinaimg.cn/large/643279a4gy1gd4t23f8t2j20ku0xx4ao.jpg,无,无,2020-03-24 10:26,微博 weibo.com,1,0,0
IA3S8ozzt,【#武汉新增确诊1例为医生# 不排除院内感染】2020年3月23日0时至24时，武汉市新增确诊病例1例。患者系省人民医院（本部）医生，租住武昌区紫阳街张之洞路137号，近期在医院上班，不排除院内感染。全市新增出院病例426例，新增死亡病例7例，新增疑似病例0例。（武汉卫计委）http://t.cn/A6zFHHPf  原图,http://wx2.sinaimg.cn/large/70856785gy1gd4szcu7goj20wn0fijtv.jpg,无,无,2020-03-24 10:24,皮皮时光机,0,0,0
IA3S58qB7,【武汉这个重症病区，近八成患者已成功转出】大约10天前，詹庆元在自己的社交账号上感慨：“武汉，寒冷的冬天已过去，温暖、美好的春天正在向我们走来。”也大约从那个时候开始，他负责的病房几乎没再转入新的患者。武汉这个重症病区，近八成患者已成功转出 原图,http://wx2.sinaimg.cn/large/643279a4gy1gd4t00dv98j20fa0bhwm1.jpg,无,无,2020-03-24 10:24,微博 weibo.com,0,0,0
IA3RGA1Xb,【国新办发布会：中医药是疫情防控的亮点，愿与世界分享中国经验】随着疫情发展不同阶段的到来，特别是当前疫情进入了全球性的大流行期，中医药能为世界分享什么经验，是很多人关心的话题。3 月 23 日，国务院新闻办公室在湖北武汉举行新闻发布会，介绍中医药防治新冠肺炎的重要作用及有效药物。中央指导组成员、国家卫生健康委党组成员、国家中医药局党组书记余艳红表示，此次新冠肺炎防控，中医药彰显了特色优势，贡献了重要力量。国新办发布会：中医药是疫情防控的亮点，愿与世界分享中国经验                原图                            ,http://wx3.sinaimg.cn/large/643279a4gy1gd4sz0kl97j20m80cajrx.jpg,无,无,2020-03-24 10:23,微博 weibo.com,1,0,0
IA3Rpbs1t,【北京市对入境人员全部隔离观察全部核酸检测】当前，境外疫情快速蔓延带来的输入性风险持续增加，外防输入形势异常严峻复杂。北京作为重要国际口岸城市，防范境外疫情输入已经成为当前的重中之重，只有采取更加严格的防控措施，才能最大限度堵塞风险漏洞，确保首都安全。http://t.cn/A6zF0aq0 ,无,无,无,2020-03-24 10:22,微博 weibo.com,1,0,0
IA3Rd6bbr,"【武汉新增病例1例系医生 不排除院内感染】2020年3月23日0时至24时,全市新增确诊病例1例。患者系省人民医院（本部）医生，租住武昌区紫阳街张之洞路137号，近期在医院上班，不排除院内感染。全市新增出院病例426例，新增死亡病例7例，新增疑似病例0例。http://t.cn/A6zF8INn ",无,无,无,2020-03-24 10:22,微博 weibo.com,0,0,0
IA3HM1U4Q,【10万盒连花清瘟支援意大利！抗击疫情，中医药作用几何？】中医药在抗击新冠疫情中起到什么作用？国务院新闻办公室于2020年3月23日下午4时在湖北武汉举行新闻发布会。请中央指导组成员、卫生健康委党组成员、中医药局党组书记余艳红，中国工程院院士、天津中医药大学校长张伯礼，中国工程院院士、中国中医科学院院长黄璐琦，北京中医医院院长刘清泉，东南大学附属中大医院副院长邱海波介绍中医药防治新冠肺炎的重要作用及有效药物，并答记者问。http://t.cn/A6zFY936                原图                            ,http://wx1.sinaimg.cn/large/643279a4gy1gd4s9kcgekj20u00mitag.jpg,无,无,2020-03-24 09:59,微博 weibo.com,2,0,0
IA3HbljRu,【探访武汉无疫情小区现状】3月18日，武汉市新冠肺炎疫情防控指挥部社区疫情防控组发布《关于无疫情小区、村（队）调整管控措施的意见》指出，全市认定的无疫情小区、村（队）可对管控措施作有序调整。http://t.cn/A6zFYqKO 原图,http://wx3.sinaimg.cn/large/643279a4gy1gd4s82z0i9j20qp0hsgoq.jpg,无,无,2020-03-24 09:57,微博 weibo.com,1,0,0
IA3GKa68L,【媒体聚焦博物馆直播：单日观看量超千万，讲解员成“网红”】“欢迎大家给我留言，告诉我你们想听什么。”3月14日晚，西安碑林博物馆讲解员白雪松在淘宝直播平台完成第五场直播，观看量30多万，点赞数超过340万。自2月23日首开直播以来，白雪松因幽默生动的讲解方式在网上走红，被网友称为“文博界李佳琦”“西安窦文涛”。媒体聚焦博物馆直播：单日观看量超千万，讲解员成“网红”            [组图共2张]    原图                            ,"http://ww4.sinaimg.cn/large/643279a4gy1gd4s6xm7aaj20b40e9wgl.jpg,http://ww2.sinaimg.cn/large/643279a4gy1gd4s6xljf5j20b4089mxj.jpg",无,无,2020-03-24 09:56,微博 weibo.com,1,1,0
IA3b7yrss,【大意不得！连续5日零报告后，湖北新增确诊病例1例】湖北新增确诊病例1例（武汉1例），新增治愈出院病例444例（武汉426例），新增死亡病例7例（武汉7例），现有确诊病例4318例（武汉4268例），其中重症病例1539例（武汉1527例）。累计治愈出院病例60323例（武汉43214例），累计死亡病例3160例（武汉2524例），累计确诊病例67801例（武汉50006例）。新增疑似病例0例（武汉0例），现有疑似病例0例（武汉0例）。http://t.cn/A6zF6Ji6                                ,无,无,无,2020-03-24 08:36,微博 weibo.com,17,4,8
IA38n7pxr,#湖北保卫战# 【2020年3月23日湖北省新冠肺炎疫情情况】2020年3月23日0—24时，全省新增新冠肺炎确诊病例1例（武汉1例），无境外输入性病例。http://t.cn/A6zFJ4sR  ,无,无,无,2020-03-24 08:29,HUAWEI Mate 20 X,4,0,1
IA388ys4r,【上海公布3月23日（0-24时）境外输入关联病例涉及区域和场所情况】市卫健委今早（24日）通报：昨天，3月23日0—24时，上海新增1例境外输入关联确诊病例。根据流行病学调查，确诊病例涉及区域和场所的情况如下：宝山区：卓越时代广场、喜士多便利店（呼兰门市店）、每日鲜精品水果园（南蕴藻路店）注：对查明的密切接触者已全部隔离医学观察，对有确诊病例的场所等已告知当地，并严格落实了相关消毒措施。上海公布3月23日（0-24时）境外输入关联病例涉及区域和场所情况                                ,无,无,无,2020-03-24 08:29,HUAWEI Mate 20 X,5,0,1
IA37XoS0b,【上海昨日新增境外输入9例，治愈出院1例，新增1例境外输入关联病例】3月23日0—24时，通过口岸联防联控机制，报告9例境外输入性新冠肺炎确诊病例。截至3月23日24时，累计报告境外输入性确诊病例75例，现有20例境外输入性疑似病例正在排查中。http://t.cn/A6zFiTCI ,无,无,无,2020-03-24 08:28,HUAWEI Mate 20 X,2,0,0
IA2WOdpa5,【跑步澳籍女子被警方带离社区 房屋已退租】北京朝阳区一澳籍进京女子不顾阻拦外出跑步，与社区防疫人员起争执引发热议一事有新进展。3月23日，一位知情人士告诉记者，该澳籍女子已于3月21日被警方带离小区，其后未再返回。据某租房平台中介人士称，事发后，渉事澳籍租客很快就办理完退租，后期会对房屋做全面消毒。跑步澳籍女子被警方带离社区 房屋已退租                                ,无,无,无,2020-03-24 08:01,HUAWEI Mate 20 X,3,3,3
IA2QguR1V,【国家首脑被感染怎么办？英美开始为“特殊情况”做打算……】据英国《星期日泰晤士报》、《镜报》22日报道，英国政府起草了一项名为“指定幸存者”的方案。根据该方案，一旦英国首相鲍里斯约翰逊感染新冠病毒，英国外交大臣多米尼克拉布将接替首相。国家首脑被感染怎么办？英美开始为“特殊情况”做打算…… ,无,无,无,2020-03-24 07:45,HUAWEI Mate 20 X,1,2,0
IA0dMBPW7,【打响#复工复产保卫战#！武汉等待重启】以武汉为主战场的#当前全国本土疫情传播基本阻断#。静待多时的武汉交通枢纽，蕴藏着蓄势待发的力量。飞机、高铁……迎着阳光等待启航。武汉，在霞光中准备就绪，再出发！长江日报的微博视频 ,无,"http://f.video.weibocdn.com/c8Rujv5qlx07BV920ykE01041200SVwG0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1585020305&ssig=owEL0kDIIY&KID=unistore,video",无,2020-03-24 01:05,旅游综合 · 视频社区,18,4,3
IA00BvYBj,【无症状感染者为何不纳入确诊病例?官方:无临床表现】3月23日，针对当前市民比较关注的新冠病毒无症状感染者相关问题，市卫生健康委组织召开省、市专家咨询会，就市民关注的问题答复如下：一、什么是无症状感染者？答：根据《新型冠状病毒肺炎防控方案（第六版）》，无症状感染者是指无临床症状（如发热、咳嗽、咽痛等），呼吸道等标本新型冠状病毒病原学或血清特异性IgM抗体检测阳性者。无症状感染者为何不纳入确诊病例?官方:无临床表现                                ,无,无,无,2020-03-24 00:32,HUAWEI Mate 20 X,7,4,4
