微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IzTCndwwb,【#31省区市新增39例均为境外输入#  #湖北连续5日无新增#】#新型冠状病毒肺炎最新情况# 3月22日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例39例，新增死亡病例9例（湖北9例），新增疑似病例47例。　　当日新增治愈出院病例459例，解除医学观察的密切接触者661人，重症病例减少96例。　　截至3月22日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例5120例（其中重症病例1749例），累计治愈出院病例72703例，累计死亡病例3270例，累计报告确诊病例81093例，现有疑似病例136例。累计追踪到密切接触者688993人，尚在医学观察的密切接触者10701人。　　湖北新增确诊病例0例（武汉0例），新增治愈出院病例447例（武汉434例），新增死亡病例9例（武汉9例），现有确诊病例4768例（武汉4700例），其中重症病例1714例（武汉1699例）。累计治愈出院病例59879例（武汉42788例），累计死亡病例3153例（武汉2517例），累计确诊病例67800例（武汉50005例）。新增疑似病例0例（武汉0例），现有疑似病例0例（武汉0例）。　　3月22日0—24时，新增报告境外输入确诊病例39例（北京10例，上海10例，福建6例，广东6例，山东2例，甘肃2例，浙江、河南和重庆各1例）。截至3月22日24时，累计报告境外输入确诊病例353例。　　累计收到港澳台地区通报确诊病例507例：香港特别行政区317例（出院100例，死亡4例），澳门特别行政区21例（出院10例），台湾地区169例（出院28例，死亡2例）。分享疫情实时数据                                ,无,无,无,2020-03-23 08:16,专业版微博平台,549,28,83
IzWdYvgUc,【16省开学时间已定！2020全国开学时间汇总表】时间慢慢逼近3月底，全国各地的家长和学生都在期盼开学。3月23日，#云南开学#，全国已有16个省市区确定了开学时间，还未公布具体开学时间的省市也做出最新部署。快看看你何时返校↓↓最新31省开学通知发布 时间表来了！ ,无,无,无,2020-03-23 14:56,专业版微博平台,183,5,23
IzW5OjfQ9,【#美共和党议员要求推特封禁中国账户#】日前，美国两名共和党议员Ben Sasse和Mike Gallagher上周五致信推特CEO多尔西(Jack Dorsey)，要求将来自中国的账号禁言，声称中国在境外平台传播了关于新冠肺炎疫情的不实信息，并敦促推特禁止其它任何国家的官员在他们的国家访问推特。 原图,http://wx4.sinaimg.cn/large/78ed3187ly1gd3unrntf2j20fa096dmd.jpg,无,无,2020-03-23 14:36,专业版微博平台,767,65,257
IzVYS5MOG,【我驻美大使#崔天凯回应病毒来自美国军方说法#】据中国驻美国大使馆官网23日消息，3月17日，崔天凯大使接受AXIOS和HBO联合节目的采访，就新冠肺炎疫情、媒体关系、涉疆问题、中美关系等回答了记者乔纳森·斯旺的提问。斯旺：大使先生，面对公共卫生危机，以事实为基础开展对话非常重要。您2月9日在《面向全民》节目采访中说散播“病毒来自美国军方实验室”这样的“疯狂谣言”十分危险。大使先生，您知道是谁在散播这些疯狂的阴谋论吗？崔大使：我认为这是始于美国的。你看了我接受《面向全民》的采访，我们谈到这里有人散播疯狂言论。斯旺：是的，您当时说：“还有人说这些病毒是来自美方军事实验室而不是中国的，类似的疯狂言论我们怎么能相信？”您当时是回应……崔大使：这是我的一贯立场。我当时这样认为，现在依然这样认为。对于这个问题，当然我们最终要找到答案，揭开病毒的来源，但这是科学家要做的工作，而不是由外交官或者记者来进行揣测的，因为这样的臆测对任何人都没有好处，而且非常有害。为什么不让我们的科学家来完成他们的专业工作、并最终告诉我们答案呢？斯旺：大使先生，很高兴听您这么说。因为事实上，是你们中国外交部的发言人赵立坚在散播病毒来源于美国实验室的阴谋论。他有相关证据吗？崔大使：也许你可以去问他。斯旺：您问他了吗？您是大使。崔大使：我在此代表的是中国国家元首和中国政府，不是某个具体个人。斯旺：他是代表中国政府发言吗？是赵立坚还是您代表中国政府发声？崔大使：我是中国驻美国的代表。斯旺：好的。所以我们不应该从字面上去听他的话。尽管他是发言人，我们也不应该认为他的话代表中国政府。崔大使：你可以对别人的话进行解读。我无法也没有责任向你解释所有人的观点。斯旺：这并不是怎么解读的问题，他就是这么说的。但您的意思很清楚了。全文→驻美大使崔天凯回应“病毒来自美国军方实验室”说法                原图                            ,http://wx2.sinaimg.cn/large/78ed3187ly1gd3u5yyb2mj20go0awjrt.jpg,无,无,2020-03-23 14:19,专业版微博平台,592,44,155
IzVT6dLuo,【荷兰花卉市场遭重大危机：#荷兰销毁百万束鲜花#】3月22日，受新冠肺炎疫情影响，荷兰全国花卉市场遭遇了百年来重大危机，供货商被迫单日销毁数百万支鲜花。据报道，目前正值郁金香盛开季节，全球因新冠肺炎疫情对于花卉需求数量骤减，导致荷兰花卉市场遭受了百年来的重大危机。荷兰花卉市场遭重大危机：荷兰销毁百万束鲜花 ,无,"http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=32890440302&Expires=1584950465&ssig=oEeK6rT2Bp&KID=unistore,video",无,2020-03-23 14:05,专业版微博平台,198,30,78
IzVMuEBy5,【#武汉大学樱花雨#】“今年我们没有相见，每朵樱花都有个梦想”，戳视频↓↓看武大樱花雨。网友：来年春天，必如约而至！武汉大学樱花雨 ,无,"http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=32879369902&Expires=1584950465&ssig=oEeK6rT2Bp&KID=unistore,video",无,2020-03-23 13:46,专业版微博平台,297,62,51
IzVDJ0IJH,"【3月23日0时至12时 #北京新增15例境外输入病例#】 据@首都健康 ：北京3月23日0时至12时新增报告境外输入确诊病例15例3月23日0时至12时，新增报告境外输入新冠肺炎确诊病例15例, 其中西班牙12例、英国2例、挪威1例。治愈出院病例1例。截至3月23日12时，累计报告境外输入确诊病例122例，治愈出院病例9例。3月23日0时至12时，无新增报告本地确诊病例。截至3月23日12时，累计报告本地确诊病例415例，治愈出院病例392例，治愈出院率94.5%。                原图                            ",http://wx3.sinaimg.cn/large/78ed3187ly1gd3snrbkaij20ku0kuq5z.jpg,无,无,2020-03-23 13:25,专业版微博平台,194,14,75
IzVxMb4c5,【#纽约市长怒斥特朗普#：那些本可以活下去的人将因你而死】3月22日，在接受NBC采访时”纽约市长节目现场喊话特朗。他表示，特朗普虽然来自纽约市，却不愿意帮助自己的家乡。“疫情会越来越糟糕。如果特朗普再不采取行动，那些本可以活下去的人就会死去。纽约市长怒斥“同乡”特朗普：那些本可以活下去的人将因你而死 ,无,"http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=32892167402&Expires=1584950467&ssig=9IXp%2BA%2FMPt&KID=unistore,video",无,2020-03-23 13:10,专业版微博平台,1319,110,203
IzVocyWTy,【#新冠肺炎最新海外动态# #新西兰宣布将全面停工停课#】新西兰总理阿德恩23日表示，48小时后将把新冠肺炎疫情警报等级提高到最高级。届时，新西兰全国将全面停工停课，仅保留超市、医疗机构等必要机构运行。该警报等级将至少持续四周。 原图,http://wx4.sinaimg.cn/large/78ed3187ly1gd3rjz9quqj20ku0kudiy.jpg,无,无,2020-03-23 12:47,专业版微博平台,770,32,58
IzVg9tn3X,【#意大利近8000医生申请战疫#】3月22日，媒体报道称意大利近8000名医生申请帮助一线医院共抗新冠疫情。意大利政府此前公开招募300名医生，不料却收到了7923份申请。申请加入的医生有青年人，也有80多岁的老医生。这支新的医疗队伍将从伦巴第大区开始工作，随后将分派到该国其他急需医生的地区。世面的秒拍视频                                ,无,无,无,2020-03-23 12:27,专业版微博平台,1493,93,214
