微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IA2lIoggO,【资深国际奥委会委员：#东京奥运会将推迟至2021年#】据《今日美国》报道，据资深国际奥委会委员迪克·庞德当地时间23日透露，2020年东京奥运会将推迟至2021年，而有关细节将在未来四周内制定。报道称，庞德在电话采访中说：“根据国际奥委会提供的信息，已决定推迟东京奥运会。尚不确定推迟的具体计划，但东京奥运会将不会在7月24日开始，这就是我知道的”。迪克·庞德数十年来一直是国际奥委会最具影响力的成员之一。他说，他相信国际奥委会将很快宣布其下一步行动。而在此前，加拿大与澳大利亚已经宣布将退出今年的东京奥运会，奥委会也在3月22日表示将在1个月内对目前的情况进行综合评定，其中推迟举办是备选方案之一。央视新闻资深国际奥委会委员：东京奥运会将推迟至2021年                原图                            ,http://wx1.sinaimg.cn/large/005vnhZYgy1gd4m9rz9yrj30gy09qmxh.jpg,无,无,2020-03-24 06:31,360安全浏览器,41,23,18
IzZocd6bs,【山东#警方通报男子闯卡打死防疫人员# 】据@岱岳警方 ：2020年3月23日10时许，泰安市公安局岱岳分局接群众报警称，在粥店农贸市场有人被打。接报后，民警迅速出警开展现场处置工作。经初步调査，在该市场出口处，宋某某(男，15岁，岱岳区人，市场业户宋某某之子)欲引导送货车辆进入该市场，市场承包方工作人员李某某(男，73岁)陈某某(男，33岁)进行阻拦，双方发生口角并发生肢体冲突。期间，李某某倒地，被120送往医院抢救，经抢救无效死亡。目前，宋某某及相关涉事人员已被警方控制，案件正在进一步调查。强闯卡点被阻，男子殴打七旬防控人员致死  澎湃新闻的微博视频                                ,无,无,无,2020-03-23 22:57,微博视频,1321,94,192
IzZ6MpYMZ,【#最新版中医药诊疗方案已译成英文# 全球共享】3月23日，国家中医药局党组书记余艳红称，中国最新版的新冠肺炎中医药诊疗方案已翻译成英文，在国家中医药局官网、新媒体上全文公开，主动给有需求的国家和地区分享。（素材来源：新华视频）http://t.cn/A6zk96hu 澎湃新闻的微博视频 ,无,"http://f.video.weibocdn.com/004cv2QTgx07BVIFvweI010412004UzA0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585006699&ssig=5Z9KUGmvjY&KID=unistore,video",无,2020-03-23 22:15,微博 weibo.com,373,110,95
IzZ1FDO7S,#留学生辗转回国入境那一刻哭了# 【祖国真好！英国留学生哽咽讲述回国经历】近日，网友@元儿jasmine 发布vlog，讲述自己从英国到上海浦东机场回国的经历，视频中她边擦眼泪边说：太感动了！国家太好了，以后一定要好好报效祖国。（视频来源：@元儿jasmine ）祖国真好！英国留学生哽咽讲述回国经历  澎湃新闻的微博视频                                ,无,无,无,2020-03-23 22:02,微博视频,9979,1463,701
IzYWdkv1A,#回国拒绝隔离大闹重庆机场# 【女子大闹重庆机场，官方：不隔离哪来回哪】3月22日，重庆。一名女子从泰国飞往上海，在重庆机场转机时，拒绝接受隔离，并破口大骂。重庆市宣传部一位工作人员表示，必须接受隔离，不隔离哪来回哪去。女子大闹重庆机场，官方：不隔离哪来回哪 澎湃新闻的微博视频 ,无,"http://f.video.weibocdn.com/000PZYThgx07BVL699qE01041200fA1G0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585006700&ssig=9D7yLz7gLW&KID=unistore,video",无,2020-03-23 21:49,微博 weibo.com,14975,473,1564
IzYKs4lBG,【#中国愿向有需要国家地区提供中医药援助# 】3月23日，国家中医药局党组书记余艳红称疫情无国界，病毒是人类共同敌人，中医药界愿与国际社会加强合作，分享经验，向有需要的国家地区提供中成药、专家咨询和援助。（素材来源：新华视频）中国愿向有需要国家地区提供中医药援助 澎湃新闻的微博视频 ,无,"http://f.video.weibocdn.com/0023UWq2gx07BVIVOkeH010412003SI50E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585006701&ssig=cMmODbYVXh&KID=unistore,video",无,2020-03-23 21:20,微博 weibo.com,299,84,124
IzYxKiEt1,【#中国援助意大利10万盒连花清瘟胶囊# 】3月23日，湖北武汉，国务院新闻办公室新闻发布会，中国工程院院士、天津中医药大学校长张伯礼介绍，已向意大利援助10万盒连花清瘟胶囊，近期可能还要再寄去一批。中国已援助意大利10万盒连花清瘟胶囊 澎湃新闻的微博视频 ,无,"http://f.video.weibocdn.com/003ut5KRgx07BVDxVgyr010412005ET60E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585006701&ssig=n9ytZKG2cF&KID=unistore,video",无,2020-03-23 20:48,微博视频,1586,385,412
IzYkt4tJT,【#湖南16岁少女被囚禁地洞案宣判# 】3月19日，“湖南凤凰16岁少女被囚禁地洞性侵24天”案一审公开宣判，被告人龙喜和因强奸罪、非法持有枪支罪被判处死刑。（部分素材来源：公众号“凤凰检察”）凤凰“性奴案”嫌犯被判死刑 澎湃新闻的微博视频 ,无,"http://f.video.weibocdn.com/002u2gBLgx07BVF7pEKk01041200kjHv0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585006701&ssig=obwj%2FThBKr&KID=unistore,video",无,2020-03-23 20:16,微博 weibo.com,13655,485,1108
IzY7TgXbx,【#抢注钟南山商标被约谈# ，自称办公出错】近日，广东广州。9家专利商标代理机构因受理“火神山”“钟南山”等商标，被立案约谈。其中一间公司员工告诉澎湃新闻，起因员工不了解情况、办公出错，已和客户沟通撤销。（素材来源：相关人士）抢注“钟南山”商标被约谈，自称办公出错 澎湃新闻的微博视频 ,无,"http://f.video.weibocdn.com/000iuQWvgx07BVD79Idq01041200hAHE0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585006702&ssig=YpsDcHhZdz&KID=unistore,video",无,2020-03-23 19:45,微博 weibo.com,736,0,0
IzY5CAgnZ,【中央领导小组：针对疫情变化部署“外防输入、内防反弹”措施】23日，中共中央政治局常委、国务院总理、中央应对新冠肺炎疫情工作领导小组组长李克强主持召开领导小组会议。中共中央政治局常委、中央应对新冠肺炎疫情工作领导小组副组长王沪宁出席。会议指出，要认真贯彻习近平总书记重要讲话精神，落实中央应对疫情工作领导小组部署，统筹抓好疫情防控和经济社会发展。当前，以武汉为主战场的全国本土疫情传播基本阻断，但零星散发病例和局部暴发疫情风险仍然存在，结合全球疫情大流行形势，要实行“外防输入、内防反弹”防控策略武汉和湖北要做好重症患者救治，及时收治新发病例。各地要坚持实事求是、公开透明发布信息，不得瞒报漏报，一旦发现疫情要精准管控，控制在病例发生和可能传播的场所。精准有效防范疫情跨境输入输出，为国际社会抗击疫情提供力所能及帮助。我驻外使领馆和有关方面要着力做好对我境外公民的领事保护和疫情防护帮扶。央视新闻中央领导小组：针对疫情变化部署“外防输入、内防反弹”措施                原图                            ,http://wx3.sinaimg.cn/large/005vnhZYly1gd43h54rqmj30gy09qwht.jpg,无,无,2020-03-23 19:39,微博 weibo.com,124,43,26
IzXUuBaFE,#当人类隔空比拼球技时它赢了# 【当人类隔空比拼球技时，它赢了】3月23日，新冠肺炎病毒仍在全球肆虐，隔离的人们只能在家中一过球瘾——美国女足U14队员威廉姆斯甚至因此走红网络，不过有只小豹子却表示不服。（素材来源网络）当人类隔空比拼球技时，它赢了 澎湃新闻的微博视频 ,无,"http://f.video.weibocdn.com/002OGbWKgx07BVvqX9XN01041200joJu0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585006725&ssig=XTlofh2Xu4&KID=unistore,video",无,2020-03-23 19:12,微博 weibo.com,286,63,47
IzXH629IW,#阳台上跑完马拉松致敬抗疫医护# 【他在阳台上跑完马拉松，致敬抗疫医护】近日，32岁的法国人诺科莫维茨，在自己家中7米长的阳台上，跑完了一次全程马拉松，耗时6小时48分钟。值得一提的是，在2月，中国西安的跑友甚至在家中跑了两个全马。（素材来源网络）他在阳台上跑完马拉松，致敬抗疫医护 澎湃新闻的微博视频 ,无,"http://f.video.weibocdn.com/000EFLnrgx07BVprVbMs01041200lLIG0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585006725&ssig=yWVc1igt72&KID=unistore,video",无,2020-03-23 18:39,微博 weibo.com,402,49,90
IzXu75kD9,【中医药局：#全国超九成确诊患者使用中医药# 】3月23日，国家中医药局党组书记余艳红称，全国确诊病例中有74187人使用了中医药治疗，占总数91.5%；临床疗效观察显示，中医药总有效率达到90%以上。（素材来源：新华视频）中医药局：全国超九成确诊患者使用中医药 澎湃新闻的微博视频 ,无,"http://f.video.weibocdn.com/000oaM80gx07BVvhXv0b010412009TzR0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585006726&ssig=FqKpk4Uflr&KID=unistore,video",无,2020-03-23 18:07,微博 weibo.com,278,352,157
IzXgI7M1B,【中医药局：#中医药总有效率达9成以上# 】3月23日，国家中医药局党组书记余艳红称，临床疗效观察显示，中医药总有效率达90%以上，社会各界认为中医药在此次疫情防控中发挥了重要作用。中医药局：中医药总有效率达9成以上 澎湃新闻的微博视频 ,无,"http://f.video.weibocdn.com/002k4L4Lgx07BVtxGllB0104120067FO0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585006726&ssig=T1Qr7lEj4v&KID=unistore,video",无,2020-03-23 17:34,微博 weibo.com,795,540,331
IzX3jvodL,#专访上海疾控援鄂工作团队# 【专访｜上海疾控援鄂工作团队：我们在武汉做“流调”】武汉近5日新增病例数：0。上海疾控援鄂工作队的工作人员还不能休息。与照顾新冠病人的医护人员不同，他们日常面对的是调查现场、访谈对象、各类数据库和纸质报告。接下去一段时间，他们将作为师资力量参与“疾控大培训”，给当地疾控人员讲课，为当地基层队伍的能力提高再作贡献。2月上旬，新增病例最多的时候，上海疾控工作队随同武汉市疾控、区疾控的同事做调查，通过电话联系病人和家属，开展流行病学调查（简称“流调”）。上海疾控工作队员任宏、朱奕奕、郭雁飞对澎湃新闻说，“有些病人家属情绪焦虑，会反过来问疾控很多问题。我们要在解答的同时，尽量安抚他们的情绪，尽量获得我们需要的信息。”那段时间天气很冷，他们自己也开始咳嗽，但仍然尽力通过电话传递给病人和家属温暖，积极地投入调查工作。专访｜上海疾控援鄂工作团队：我们在武汉做“流调”                原图                            ,http://wx2.sinaimg.cn/large/005vnhZYly1gd3yeun1qgj30gy09qaac.jpg,无,无,2020-03-23 17:01,微博 weibo.com,72,17,8
IzWQkCs5R,#旅游博主照片被移接为女毒王# 【陷“女毒王”风波的旅游博主：挑大V维权】近日，旅游博主@缅茨沐 照片被移接成“广州女毒王”。缅茨沐告诉澎湃新闻，“八百年不联系的小学同学都打电话问我”，盗用的媒体太多，只能挑转发量高的大V抗议维权。（ 素材来源：相关人士、综合网络）#旅游博主辟谣被称广州女毒王# 陷“女毒王”风波的旅游博主：挑大V维权 澎湃新闻的微博视频                                ,无,无,无,2020-03-23 16:29,微博 weibo.com,675,62,101
IzWEmCXKF,【国新办介绍中医药防治新冠肺炎重要作用及有效药物】3月23日16时，国新办在湖北举行发布会，请国家卫健委、中医药局、天津中医药大学校长张伯礼等介绍中医药防治新冠肺炎的重要作用及有效药物，并答记者问。 澎湃新闻的微博视频 . ,无,"http://f.video.weibocdn.com/JwfnrMqvlx07BVwx8hMY01041207hF710E030.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585006728&ssig=j0XyFQEcb3&KID=unistore,video",无,2020-03-23 15:59,微博网页版,326,60,32
IzWD5aEpa,#安倍说目前全球状况不适合举行奥运# 【日本首相安倍晋三：目前全球的状况不适合举行奥运会】据日本共同社3月23日报道，日本首相安倍晋三就举办东京奥运指出，目前全球的状况不适合举行奥运会。日本首相安倍晋三：目前全球的状况不适合举行奥运会 原图,http://wx4.sinaimg.cn/large/005vnhZYly1gd3x0qo60ej30gy09qwht.jpg,无,无,2020-03-23 15:56,微博 weibo.com,179,43,74
IzWBjd1mC,【#耶鲁大学体育馆改建方舱#医院：防不时之需】据《每日邮报》报道，为应对新冠疫情危机，近日耶鲁大学佩恩·惠特尼体育馆被改建为临时医院，该临时医院不具备重症监护能力，仅用于一般护理，以减轻当地卫生系统负担。（视频来源：综合网络）耶鲁大学体育馆改建方舱医院：防不时之需 澎湃新闻的微博视频 ,无,"http://f.video.weibocdn.com/004u3kNKgx07BVjSGgJh010412005WOm0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1585006728&ssig=TTUDctN1GE&KID=unistore,video",无,2020-03-23 15:52,微博 weibo.com,669,45,102
IzWso2vi5,#意大利多家药房遭洗劫#【口罩急缺频遭打劫，意大利药房陷双重困境】近日，意大利有多家药店遭到洗劫。罗马一名药剂师表示，药房陷入两难困境。因供货商提高口罩价格，药店进不到货，多家药房口罩售磬，同时又要面临安全威胁。“我们真的很害怕。”她呼吁民众理解和合作，“口罩并不是我们不想卖，而是我们真的没有。”（视频来源：Roma Today 翻译：@Nita大呵呵 ）罗马药剂师诉苦：口罩紧缺还面临持械打劫 澎湃新闻的微博视频                                ,无,无,无,2020-03-23 15:30,微博 weibo.com,642,98,164
IzWiItLcw,#接种新冠疫苗志愿者晒餐食#【接种新冠肺炎疫苗，“只是刚好在武汉”】3月20日，第一批志愿者接种新冠肺炎疫苗，目前正在定点隔离中。34岁的志愿者陈梦桥在微博晒出隔离期间的丰盛餐食，他说自己是普通人，接种新冠疫苗因为自己身体素质比较好、刚好在武汉。“疫苗打一次之后会定期抽血，检查体内有没有产生抗体，持续半年，每隔一段时间要去抽一次血。”陈梦桥说，跟一线医护比起来，自己所做的微不足道。（素材来源：相关人士、综合网络）接种新冠肺炎疫苗，“只是刚好在武汉”  澎湃新闻的微博视频                                ,无,无,无,2020-03-23 15:06,正能量 · 视频社区,604,52,92
IzWfZb1nm,【浙江省通报新冠肺炎防控工作3月23日发布会】3月23日15时，浙江省人民政府新闻办公室召开第38场新冠肺炎疫情防控工作新闻发布会，邀请相关负责人出席，回应公众关切并答记者问。 澎湃新闻的微博视频 . ,无,"http://f.video.weibocdn.com/6PDjnem9lx07BVprlfkc010412084sEb0E030.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1585006731&ssig=m9V2ze7Lnl&KID=unistore,video",无,2020-03-23 14:59,微博网页版,254,13,10
