微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IzUSEmoBn,【龚正任上海市副市长、代理市长】今天（23日）上午，上海市第十五届人大常委会第十九次会议决定，接受应勇辞去上海市市长职务的请求，龚正任上海市副市长、代理市长。会议决定，接受廖国勋辞去上海市监察委员会主任职务的请求。龚正同志简历→快讯！龚正任上海市副市长、代理市长 原图,http://wx4.sinaimg.cn/large/6e1fdf79ly1gd3pai0zu2j20k00p0all.jpg,无,无,2020-03-23 11:31,专业版微博,8,0,2
IzUQCw0XZ,【摘下口罩吃火锅，吃完火锅就买药，#火锅和痔疮膏同时热卖#】随着餐饮门店恢复堂食营业，有数据显示，近一周全国火锅销量增长186%，更让人没想到的是，同时痔疮膏和肠胃药的销量也同步提升。对于2个月的宅家生活，“下馆子”来顿美食的确是最容易满足的幸福感。这个2020，摘下口罩的第一顿，你要吃什...全文,无,无,无,2020-03-23 11:26,微博 weibo.com,219,3,6
IzULwlB4R,"【澳大利亚称今年夏天""无法集结""参与奥运会】当地时间23日，澳大利亚奥委会全体执委一致表示：由于选手们不能保障正常训练，代表团将无法在今年7月集结；澳大利亚已通知选手，提前做好奥运会延期一年的准备。此前，#加拿大呼吁东京奥运会推迟一年#举行，否则，加拿大将不会派出运动员参加。#加澳两国表示若奥运会不推迟则不参与# 澳大利亚奥委会：代表团无法于今年7月集结参加东京奥运会            [组图共2张]    原图                            ","http://ww1.sinaimg.cn/large/6e1fdf79ly1gd3oskv1tmj20k00dc47k.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gd3oskniqcj20pt0ip75c.jpg",无,无,2020-03-23 11:11,微博 weibo.com,6,0,6
IzUxdzf42,【#加拿大退出今夏2020东京奥运会#】当地时间22日，加拿大奥委会和残奥委官方发布声明，加拿大将不会派队参加今夏的2020东京奥运会。加拿大：退出今夏2020东京奥运会 原图,http://wx4.sinaimg.cn/large/6e1fdf79ly1gd3ns41ht2j20k00vitan.jpg,无,无,2020-03-23 10:36,微博 weibo.com,9,4,6
IzUrjsXS3,"【刚刚，杭州2022年第4届亚残运会会徽、口号发布！】2020年3月23日，杭州2022年第4届亚残运会会徽、口号发布。会徽中文名为“向前”，英文名为“Ever Forward”。口号英文为“Hearts Meet, Dreams Shine”，中文为“心相约，梦闪耀”。#杭州2022# #杭州亚运会# #杭州亚残运会# #杭州亚残运会口号# 杭州2022年第4届亚残运会会徽、口号发布            [组图共2张]    原图                            ","http://ww3.sinaimg.cn/large/6e1fdf79ly1gd3ncwx4rcj20k00e5aca.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gd3ncwz4tmj20k004tgnp.jpg",无,无,2020-03-23 10:21,微博 weibo.com,24,2,9
IzUf20apf,【丽水昨日新增境外输入确诊病例1例，为青田籍华侨】3月22日0-24时，丽水新增境外输入新型冠状病毒肺炎确诊病例1例，新增出院1例。截至3月22日24时，累计报告境外输入确诊病例13例（均为青田籍华侨），目前9例在定点医院隔离治疗，4例已治愈出院。丽水昨日新增境外输入确诊病例1例，为青田籍华侨 原图,http://wx3.sinaimg.cn/large/6e1fdf79ly1gd3mh7lu7qj20ju08en4j.jpg,无,无,2020-03-23 09:51,专业版微博,1,2,1
IzU2G4m8X,【杭州昨日无新增︱专家提醒：入境来杭人员应如实申报信息，自觉配合管理】2020年3月22日0-24时，杭州无新增确诊病例。截至3月22日24时，全市共追踪到密切接触者8685人，尚有231人在隔离医学观察期内。专家再次提醒：境外华人华侨如出现发热、咳嗽等症状，要及时到当地医疗机构就诊，避免长途旅行，减...全文原图,http://wx3.sinaimg.cn/large/6e1fdf79ly1gd3llq3wvqj20ju08en4j.jpg,无,无,2020-03-23 09:21,微博 weibo.com,8,5,5
IzTV9qzfo,【浙江新增境外输入确诊病例1例，西班牙输入】3月22日0-24时，新增境外输入新冠肺炎确诊病例1例（西班牙输入），无新增本地确诊病例，新增出院病例1例。全省已30天无本地新增确诊病例。全省共追踪到密切接触者44139人，尚有1557人正在接受医学观察。浙江新增境外输入确诊病例1例，西班牙输入 原图,http://wx1.sinaimg.cn/large/6e1fdf79ly1gd3l2fnve4j20jy08e45w.jpg,无,无,2020-03-23 09:02,微博 weibo.com,17,3,4
IzTD20au8,【全国昨日新增39例均为境外输入病例（其中浙江1例）】3月22日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例39例，新增死亡病例9例（湖北9例），新增疑似病例47例。当日新增治愈出院病例459例，解除医学观察的密切接触者661人，重症病例减少96例。截至3月22日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例5120例（其中重症病例1749例），累计治愈出院病例72703例，累计死亡病例3270例，累计报告确诊病例81093例，现有疑似病例136例。累计追踪到密切接触者688993人，尚在医学观察的密切接触者10701人。湖北新增确诊病例0例（武汉0例），新增治愈出院病例447例（武汉434例），新增死亡病例9例（武汉9例），现有确诊病例4768例（武汉4700例），其中重症病例1714例（武汉1699例）。累计治愈出院病例59879例（武汉42788例），累计死亡病例3153例（武汉2517例），累计确诊病例67800例（武汉50005例）。新增疑似病例0例（武汉0例），现有疑似病例0例（武汉0例）。3月22日0—24时，新增报告境外输入确诊病例39例（北京10例，上海10例，福建6例，广东6例，山东2例，甘肃2例，浙江、河南和重庆各1例）。截至3月22日24时，累计报告境外输入确诊病例353例。累计收到港澳台地区通报确诊病例507例：香港特别行政区317例（出院100例，死亡4例），澳门特别行政区21例（出院10例），台湾地区169例（出院28例，死亡2例）。全国昨日新增39例均为境外输入病例（其中浙江1例）                原图                            ,http://wx2.sinaimg.cn/large/6e1fdf79ly1gd3jryuzjij20k008g42p.jpg,无,无,2020-03-23 08:18,微博 weibo.com,15,3,7
IzTvJhHlH,快抱好物X西湖龙井龙井43可以喝了要说狮峰老茶蓬龙井村长徐胜强请你再等几天 原图,http://wx3.sinaimg.cn/large/6e1fdf79ly1gd2yzwxlf0j20ku112qps.jpg,无,无,2020-03-23 08:00,微博 weibo.com,5,3,1
